,name,status
11602,فريج حسان أسمر,1
4402,عبدالمطلب عبدالحفيظ نايف,1
12640,هريرة مستور مفتاح,1
7956,آمال قثم نصرت,1
27087,صائنة أسماء وميض,0
11014,عائشة ساجد مناع,1
6091,ديم خلف إسحاق,1
4174,مسفرة عبدالظاهر صاعد,1
11113,كاملة سمير عرفة,1
26256,مولود إقبال رافية,0
17243,عائذ حجاب علاوة,1
17563,شاهر خالد جودت,1
17589,فريز وسيم سميح,1
3728,مناحة بديع رأفت,1
6494,حسنين عبدالواحد جمعان,1
15210,البراء قسيم ساعف,1
17699,عبدالجليل رماح معصوم,1
20992,حسنى ميساء نورا,0
28869,إيحاء بارعة راقية,0
34904,جعفر رانيا انتظار,0
20888,عكاشة جمعة مجدي,0
28645,فتح بازعة زبيدة,0
29430,ساري سعيد نصار,0
11233,عبد الحسين مسافر معن,1
6252,عايدة المثنى متمم,1
21850,مشبلة ليان غافر,0
17574,جوري داود عبدالشكور,1
7667,ابتهاج رجب مطلق,1
4404,نبال أيوب فضل,1
26888,غسان طاكر نهال,0
9554,يارا عنبر عصام,1
7302,ليال عتابة مسيب,1
2137,وسيمة سحيم مجاور,1
27059,شاكر سعود زتدان,0
13848,مهرة مجاور عازم,1
10119,ليلى نفيس غني,1
23928,تهامي منيرة وديعة,0
17633,فضل سعيد طريف,1
18640,عفان أكرم نظمي,1
16021,ندرة غزوان ناهي,1
29969,سعرد نندت مزهر,0
2462,سعيد مظفر دارم,1
24754,رائد عليم منيب,0
5463,عبدالحفيظ ممدوح رهيف,1
35105,عبيى بشارق فتوح,0
32992,هوزان راسم قبيصة,0
2039,زبيدة داود عجاج,1
35517,افتخار مروة ندى,0
34152,ماهة رأفت عقبة,0
19107,مبارك ثائر رفاعة,1
6999,عبلة برهان عبدالخالق,1
21689,بسطام أمرات أسارير,0
20775,عمارة إهلال انجرار,0
10454,مرتضى عوني شريك,1
21682,غانم بشيرة باسلة,0
9865,كبرى غسان رعد,1
4352,نبيل منيب عبدالقدوس,1
25198,ليلى إنجاح منصفة,0
17800,باهر عشير فهيد,1
23717,رافق جليل ربيع,0
25300,وهبة منذرة نصر,0
22050,إسحاق صابرة إيفاء,0
6469,دانا عنترة راغب,1
22669,خالص نسرين عبير,0
1193,نوف مهيوب اسلم,1
9490,فائز عوني صفوت,1
33891,مسفر مجيبة سلطانة,0
13350,ظافرة راجح عبودة,1
35875,مغوار مرشد طامحف,0
30684,أوسال أثيل أهداف,0
22044,مطاوع معين اقدين عبدالعزيز,0
32903,معاوية نزيهة مسفرة,0
29062,عبدالعليم حنشل قئري,0
8150,سناء تيم سيف,1
16884,محبوب أشهب ناصح,1
32140,ظعينة زينب باسلة,0
27757,إجلال رشيقة لوزت,0
29158,براء شهد رضد,0
33825,فنن فائح بشار,0
35991,سائد إيحاء سلمى,0
19139,سامر عريب غانم,1
16342,فتوح نسيم خضر,1
29314,سعدي أسمى تمارة,0
36698,كاظم أروى صائنة,0
687,رفيق عادل الخضر,1
1331,الجوري عبدالوهاب جلال,1
3340,ملحم مهند نايف,1
13385,عبدالجبار دغيم عبده,1
5658,مديدة مشاري ناصيف,1
15095,شريك جلال تمام,1
17274,صبيح عوف أليف,1
2369,مطاعة عمير أيوب,1
5817,أمرات طلال غالب,1
26389,فائقة بشرى ألطاف,0
65,بارع عفان شهاب,1
34184,رمزية سندس أملة,0
5694,ماهرة ساطع قتيبة,1
24725,نصر شصيد دعيج,0
35049,لميس سناء سها,0
29587,ديم رهام واعل,0
1787,نورس مظفر جساس,1
35317,بكري نادين رافقة,0
34828,نورا ألوف تيماء,0
22915,أمرات طلال مطلب,0
4825,أريام ربيح نصرت,1
3579,زيد مراد لطفي,1
26419,ظامح إخلاص أبان,0
28361,غلام تيم حفص,0
18057,أمال عصمت خطاب,1
25117,ضدينة راسم مقرن,0
32614,شكور فاتن نزيهة,0
6875,سدن شافي مهدي,1
11994,مغيرة رافل سري,1
26438,مارسيل شارد إعزاز,0
8087,شعبان نجاد فرحات,1
25326,كلاب فكرت هدير,0
28814,إقبال إيمان أمرات,0
642,زينة أرغد فارس,1
21049,سداد مغرف فؤوح,0
5533,ماضي هاشم ثروت,1
32674,نضال كريمة مريم,0
8871,معصومة حارث زبير,1
5075,مريم زهير شافع,1
1705,لولوه كاظم طريف,1
33798,أشتر ثوابة إنجاح,0
36981,آمنة منيرة بسيمة,0
18495,المثنى فريز شوكت,1
4353,فضل عقاب حزم,1
23193,ميسون أثيل أوصال,0
1855,عبدالمطلب تركي سعدون,1
31155,رافل حافظ غالب,0
49,ملهمة مهاب نوح,1
12851,لطفية جبور هيمان,1
20097,أوصال مطيعة ملهمة,0
31080,أغاريد عمرو نصر,0
28543,كادي أنوار زاحم,0
32109,غديم ؤبل بسام,0
11172,داوود يزيد راسخ,1
5882,فريدة مطاع عزب,1
35708,عصمت وليفة ميرا,0
28875,بيب فكري قغيد,0
33121,مضر زبيدة ناجدة,0
22077,سمراء عبلة رغد,0
8838,صمود عصمت إسماعيل,1
24405,فرح علاء فاتك,0
17599,ستار سلامة أزور,1
27928,فاخح بكري سحيم,0
17167,ناشئة عزب عمرو,1
17591,صبا تقي سميح,1
13155,موفق غافر عليم,1
34426,فرحان عوف مرسي,0
31803,بليغة أناة سونيا,0
28117,عابد وفاء هماي,0
27954,مازن آمنة إناس,0
32283,سيارة ناجحة بسمة,0
26301,عوف صدام خضر,0
19397,نورس عراد محسن,1
30176,جهاد هجرس خزعز,0
28802,دغنيا غناء محعد,0
28780,جاسم تمارة هديل,0
6821,نوار بشارة ضيف,1
32425,مكصف عوف فبيد,0
20251,لطفي آية ناجدة,0
9143,عائدة عبدالودود عوني,1
9618,شاكر مصطفى عبدالحكيم,1
30790,صائنة سهل بطرس,0
10886,غيثة إيهاب فياض,1
32532,هنبف مارية لجين,0
15841,سلطانة عائض رمزي,1
4585,مناصف جمعان فليح,1
27289,ثائر ورد ماهرة,0
29069,رافق ناجحة سنيحة,0
33804,جلاد عبدالدكور مأمون,0
7770,عطا طيب ميمون,1
26560,ننذرة عصام سؤدد,0
21284,عباد فاذق غلار,0
35690,إقدام خزاعي شاكر,0
35030,مطاوع عتاب مطير,0
13911,بسيم فواز مجدي,1
20424,ضياء نهال رجب,0
28417,مناف إيحاء انبهاج,0
36283,حارث زيداأ رسمي,0
15637,شماخ جلال مطاوع,1
21867,خباب سعيدة تغاني,0
25665,باسة رفاعي ريبال,0
33365,مرح صائنة نادية,0
23330,لولوه حجر عزة,0
4015,غزوان فخر بطرس,1
11160,كنزى شبل ماهر,1
31952,قطب سارة سعدة,0
12658,كريمة عز مستور,1
11180,حسام مفتاح ثابت,1
6945,رنا فرناس عياش,1
30154,ميمون وئد ميمون,0
3123,روضة ذاكر رضوان,1
5650,منى حمزة عتابة,1
11518,أنارات رغيد شميم,1
1232,يزيد ناصر الدين قتيبة,1
34352,مزينة ظعينة ناجحة,0
26340,بسطام زكية تيماء,0
7060,محبوب جدعان رابح,1
11200,ناجحة مطاع أكبر,1
21699,ةميم شجاع جراح,0
10378,راغبة مطاع صابر,1
9656,رماح رائد إسلام,1
16006,عزت سديد لبيد,1
14659,عذبة زبير عمارة,1
7001,عصام وهبة جبلة,1
1136,ظبية مزن فائق,1
7838,افتخار مغيث شامخ,1
25400,عياش عبير سميرة,0
4653,ليلى شيبة زاهد,1
3496,عماد غيث ستار,1
20127,مسفرة اعتدال أنشودة,0
22851,عذاري المثنى ةبل,0
35430,عمرو عزيزة عنبر,0
29440,شهاب عذاري منتزر,0
17916,رحاب أكثم حمزة,1
8480,روابي ناظم عبدالقيوم,1
7240,مراد زين معصوم,1
18487,بسيمة معين دانا,1
16984,شكرية فلوح حمزة,1
33888,ابتهاج لهيفة هند,0
8607,ناشئ مدحة سميع,1
18435,غيث معتصم جرير,1
21683,أكام عبدالرقيب آيأت,0
24059,نجيبة أسيل اعتدال,0
17538,عصمت فكري إياس,1
26873,مغيثة نوار مدركب,0
36947,فدوى رشم إنحاف,0
12455,كليب محرم علاوة,1
27682,مرغد عز ساعف,0
13144,نواف كنعان نصار,1
2088,غلا حنشل أسامة,1
2660,نزيه عقيل ركين,1
33166,بداير مناحي مبخوت,0
8412,فادي نصرة عاكف,1
31736,أسيي آمال غيمونة,0
31109,فهمي بحرية نظيرة,0
28213,سلامة تيماء مزينة,0
14564,ضيف داوود ساجي,1
28200,شسوخ سفمة برد,0
10222,مضر علي غيث,1
13653,ود أيسر حنظلة,1
15626,محمود ظاهر حسنين,1
12406,نزار صفوت المثنى,1
2477,نصر داوود هانئ,1
36302,راغآ آمنة سامر,0
16623,إقدام تهامي داني,1
8970,أفنان أحمد هاشم,1
26765,عنبسة مهيبة شكرية,0
28433,حفصة أبرار سمراء,0
32571,دانيظ بسمة رويشه,0
6339,شريفة أغلب مغيرة,1
13627,باز هواري إسحاق,1
6281,زايد حمدون شيبة,1
5607,عباد رفيق نجوان,1
2965,حوراء فتح ظافر,1
29779,باشق غةوان ميثاء,0
18439,صابر ضرام مقرن,1
16320,سلمى ساطع قتادة,1
17822,ميا نعمت شمس الدين,1
8589,سلام تامر خازن,1
18382,موزة عادل أشرم,1
27306,عيدة نهلة وهبه,0
5807,كليب غلاب حارث,1
26399,فلثح وليد دنيا,0
5408,ذباح بادي بليغ,1
35781,ممدوحة ديم عبدالعظيم,0
14055,ذاكر دعيج مقرن,1
6682,عبدالحكيم حاتم عبيدة,1
8427,مكين شجاع غيث,1
36457,جويرية أيسر أتيد,0
2387,منذرة مدرك نصيف,1
22483,سلامة كنزى نسرين,0
4527,عبدالجليل مسعود عمار,1
20290,عليان سهدة ناصر الدين,0
34539,عايدة عفان نوري,0
25004,إيتاء أوسال ميمونة,0
20846,مآزوق جود إنصاف,0
28309,ولهانة صريحة لانا,0
10540,أريب عبدالفتاح أوس,1
4823,صاعد رأفت عبدالشكور,1
17937,سدين عليان جابر,1
21217,عبدو إباء منذرة,0
13874,عدنان مناع فرقان,1
20918,انتظار راغبة نبيهة,0
3977,عراد غزوان باسق,1
1512,أيتن صهيب خالص,1
14095,محمود مرتضى عوض,1
29593,ريحانة انفصال مرحب,0
3481,آمنة ناهي عنتر,1
11674,أوصاف معروف ثراء,1
31995,أنار إنعام آية,0
21321,عىار أكمل منتظر,0
29365,غادة غزثل بهجت,0
19390,ثويبة فخر زفر,1
22231,عبدالجميل مرزوق فائغ,0
30620,سراج دغيم صاعد,0
36395,نزار جودت مجيب,0
14226,نجوان رسول مستور,1
1079,رهف عيضة أشرف,1
15840,راسخة هدير رمزي,1
9853,ثوبة سامي عيسى,1
24560,مشتاق نورة بارزة,0
25377,أنوار هديل زبيدة,0
29384,زيدون أفكار هديل,0
32330,قطب وهبة شاهدة,0
29178,مطاع رشا إنشاد,0
26527,أطا عبيد نزيهة,0
5125,مغيثة نورس مهير,1
6439,تغاني حنشل عبدالرشيد,1
28232,رخاء أنسام رامة,0
37023,مغيرة افتكار بهيجة,0
21054,ناصح صشيم دلال,0
26372,ربعة ظعينة بليغة,0
12291,ماهة طيب عزت,1
7502,ناصف سالم مؤيد,1
13470,انتظار شكري الخضر,1
4903,شفيق غضنفر فريز,1
15069,إياد معاد كاظم,1
34851,ماهة إشراف شارد,0
3448,نجاد قاسم مرهج,1
19339,ركان صهيب وسيم,1
29683,عبد الحسين إسعاف رسمية,0
3088,تليد رزق رمضان,1
29603,وتعن سرامة رفيع,0
33108,خليبي أماني أسماق,0
20132,نجم إيداع وميض,0
14397,لطفي مأمون عليان,1
8377,انسجام أجيد عبدالحكيم,1
21759,سمراء علوان حمزة,0
1371,ذكوان حارث مضر,1
14388,عجم عنبر شاهر,1
8515,رقية فواز عبدو,1
31386,تولين كاظم خضر,0
13315,ابتهال أويس أمان,1
32862,لقمان أماني فريدة,0
16203,جبلة منير زيان,1
19379,ساري شيبان رشوان,1
9444,جاسم عطاء لطيف,1
27738,عبدالرحمن نراد جدعان,0
612,نبيهة كليب غيلان,1
14685,رضا حسن عادل,1
19610,مرحب فريد أدغم,1
35936,رافع مطاعة مزينة,0
14208,عبدالهادي بسام مستور,1
37018,معاويئ غفار رائد,0
31331,دانين أةنية عمر,0
17583,ولهانة عقاب لبيب,1
17871,فصيحة فرحات علي,1
5306,هادي قبيصة أيوب,1
20766,زكية جدعان مهدي,0
28956,يشجان عبدالنور نورة,0
21815,محرم حجاب قسيل,0
6647,رؤى باسط معن,1
2667,حجر محمود عباد,1
35751,حسنين فرحقت رخيف,0
33751,أمونة ناهية ناهية,0
27202,نصرة عرفات جهير,0
17208,بشيرة ناهض مصباح,1
36702,سراج ظافرة إدراك,0
17035,أنهار عقيل حازم,1
7563,غيث ضاهر زاهد,1
29515,شمس الدين نادين آيات,0
28506,ظعينة بشري حيوة,0
29032,بليغة راغبة أوصال,0
3569,فادية صباح شامخ,1
36323,بهيج أسارير سلوى,0
31442,حاشد فبير عبدالوهاط,0
12917,بشارة لطيف راسم,1
29756,خينا ظبية راتب,0
17695,قادر مناف سمعان,1
32822,عقبة ذغيثة ستور,0
27652,عصدالملك غريبة عبدالرقيب,0
5594,راكان شعيب رفيق,1
32335,دنيا حمزة جبر,0
13702,سميحة لؤي عبدالله,1
22765,أمرات رافق نصر,0
18233,شاهدة زيدان عبد الحسين,1
30788,غلا ذكوان عثمان,0
13523,رزين أرقم مطاوع,1
7401,سندس معلوف سعدون,1
34975,أسماء رجيحة ريحانة,0
13421,خلوق نوري نائل,1
27772,عطاء إكليل كنزى,0
35478,ىزب إيناس ضراا,0
24732,عزدالشكور جواهر شاهر,0
4292,فلوة عز فارس,1
21685,كفى حافظ نجدة,0
285,مثابة عبدالحي رجاء,1
2845,رجيحة باسم سامي,1
23584,إشراف آيات ثويبة,0
2537,بارية جليل رفاعي,1
4505,جيهان طاهر خويلد,1
32891,أعهر إينام أيسر,0
28047,نصار علياء إأثار,0
6230,سهيل عليم وهب,1
18404,ريا عبدالرقيب شجاع,1
37047,أنسام أوسال انبهاج,0
9605,أوها حزام صارم,1
29738,حواس ققر ولاء,0
13930,حليمة نشمي معن,1
7577,أنشودة فكري علاوة,1
32132,شجاع تنال زيانة,0
13873,ساندرا صفوت عياش,1
9077,خليفة حجر سعود,1
1536,جيهان شيبان عنبر,1
29450,ناجح متام سنيحة,0
30342,رابح مرتضى يامي,0
23923,أهداف بازعة نهال,0
10028,علي حاشد عبدالله,1
17895,موهبة أمية لطيف,1
34736,دريد نجوانة رهام,0
14550,ناشد حفص مرشد,1
18367,رزق ثراء فتوح,1
7826,فادية بشير برهان,1
27833,هدى ثويبة أنيسة,0
11220,عامر أبلج نامي,1
17177,منذر حسني حماد,1
20687,عجرم سيار زور,0
25754,بارقة ميار مرشد,0
21225,المونى نورهان فليح,0
9150,وضحى أمين ناشد,1
624,أديب أكرم مطر,1
6864,سميحة رغال عبدالواحد,1
18691,برهان جنادة مازن,1
22439,ميرا حوراء وميض,0
36822,منير روابي بارعف,0
17174,عبدالقدوس جندل خليل,1
3443,جراح عدلي ساجد,1
28092,لباب رةتال كادش,0
4160,مصباح سيار رهيف,1
3914,منذرة بشار شريح,1
24432,أضهم فريج رشذد,0
12671,حسون عبدالفتاح سفيان,1
3498,أنغم سامح نظمي,1
7412,أنارات مطاع قاسط,1
31355,رىين جمعة راغبة,0
5364,أسماء بلال فضيل,1
1932,نوال حيدر جابر,1
25774,منيرة رضوة رهام,0
32649,رهيفة زفر عجم,0
33965,أمامة أوسال ثراء,0
12590,سيد نمر عبده,1
1687,غوار نمر متعب,1
25459,جعفر قائد ىاهية,0
22886,مطاعة أمانة ندى,0
26941,عبلة فاتن مطاعة,0
4317,فلوة فاتن مرزوق,1
34103,رأفت قاهر مءشدي,0
28165,معينة حميد رواح,0
26583,مولود وهبة منيرة,0
553,حارث نعمت رافع,1
5751,أنسة جناح المثنى,1
34009,ضارعة خير مدحت,0
24261,قثم نبيلة شريفة,0
14854,سمة منصور سبع,1
19430,نهى عليان ظاهر,1
35603,ةتيبة زهور خليفة,0
2945,إكليل متعب مشعل,1
29614,ألطاف عتاإة فتوح,0
11897,مبروكة زياد معتضد,1
2762,مجاهدة حزم ثائر,1
30597,عقاب وهبم ذاكآ,0
16340,مصعب مهيب مرحب,1
27865,منتصر بثينة كاظمة,0
27896,عمارة فتح ىلطاف,0
3090,رفيدة صفوح ربيع,1
6262,سطام كهلان مشاري,1
12759,سيار ضاوي نشأت,1
18212,أديب عبد الحسين عمران,1
25259,أوسال صفية زينب,0
27144,نبيل رجيحة ربعة,0
4832,ريم قتادة شكري,1
19677,أسامة ميلاد جنادة,1
25154,أنسة طامحة نبيلة,0
8465,سها جبلة شريك,1
9192,أبو بكر محرز حافظ,1
36901,جليل ولهانة نادين,0
27801,مقتدي شذيد غريبة,0
2527,دعجاء حصيف حمدان,1
9900,عدوان علي مأمون,1
31718,خويلد انسجام شكرية,0
2671,فردوس ظفير حافظ,1
11791,نذير أيسر خالد,1
36802,فضيل باسة فرح,0
1625,منيرة كعب هائل,1
31560,أفراح ذكية فاطمة,0
18522,تمارة أشهب عبدالقيوم,1
29152,أسارير كاظمة زكية,0
17038,بسيم داني بشري,1
25298,رإعت رهذف ألطاف,0
35504,بشر إيضاح بارزة,0
24818,تودد راسخة منيرة,0
28672,زينة شروق حوز,0
8468,سادن منيب رشيق,1
8623,حسحاس برهان فرقان,1
295,سلطان مقبل عبدالحليم,1
22982,سهيلة مبارك تنيم,0
12668,صفية نجاد سالم,1
35828,تغاني مجيبة السعدية,0
15584,هانئة معين زيدان,1
1084,نصير ركين صبيح,1
23306,أمانة أمنية انفصال,0
3808,أولياء جناح عصمت,1
25804,رابعك عاليت عشبة,0
5900,ريتا رجب قتيبة,1
4731,إباء غوث عوني,1
22570,جودة مساعدة ألوف,0
10969,خلف أبان عقيل,1
31060,امتياز رقية أنوف,0
22019,لكيفة إخلمص يحيى,0
7651,ريبال فوزي نافع,1
14160,أخضر حارث مطاع,1
1157,باسقة هواري فتيح,1
6268,مغيرة سفيان لبيد,1
14442,ميمونة أسمر مارسيل,1
4597,حجر مصدق نمر,1
31194,داود هانئة إمهال,0
34921,عبدجلسلام سمة زاهية,0
7712,وهبة بهيس بكار,1
34798,طريفة رائف ناهي,0
17584,منذرة جمعة شاهد,1
10425,راضي جهم مجيد,1
16133,صفوح سفيان زيدون,1
4142,عوف حنبل حفص,1
10010,أحد علوان شهيد,1
35804,صؤا فتون عهود,0
35774,رعد رأفت عكرمة,0
7266,مزن بدر أحمد,1
5483,بشاير نمر مديد,1
11949,ردينة عصام نوح,1
9399,عائذة زغلول رغيد,1
14938,نجدت عقيل هود,1
22593,رفيع أمانة زهرة,0
4224,لارا نصرت سليم,1
5750,ميلاد موفق شافي,1
1845,أسمى شيبان رفيق,1
25030,مدرك سثاء خالد,0
31419,نورة تغاني سحر,0
758,ظافرة هشيم صمصام,1
27756,حسنية غالط ثنيان,0
2191,راقية منعم فطين,1
4692,مناف خالص كليم,1
24084,خويلد ماهة معطية,0
34995,معطي أشتر عوف,0
9941,فتيحة بديع لؤي,1
4434,مريم داني بهيس,1
10111,تيسير فخري نصير,1
16373,إمهال غضنفر عابدة,1
26095,نداء إقبال لينا,0
14376,فيض نظمي سديد,1
10688,أكرم خضر إسماعيل,1
22391,كارم مطاعة سدر,0
20675,فكرية قنوت أسمى,0
17568,مروان صارم إبراهيم,1
24948,كاملة لطفية انجرار,0
4974,نصر عارف خباب,1
19129,دانا لطيف جمعة,1
11692,أسارير عبيد عكاشة,1
19647,مدحت عوني عوني,1
11070,جرير مسعود جذيمة,1
11883,تيسير مناع رشيد,1
24318,مغيث نضال وسيمة,0
34967,لطيفة حسون مرسي,0
23075,مهرة أسارير لجان,0
18971,أمية هود منصف,1
36007,عبداظجميل نادين بميرة,0
2396,إدريس عمارة سليم,1
5718,أبرار ماهر نجا,1
4850,معطية عجاج عليان,1
10170,نجم حسين قتيبة,1
32700,سحر غالب كامل,0
24199,ةحرم نسجحة مثابة,0
29458,رفيق ملاري رفيق,0
15329,إيداع هادف جلال,1
29308,باهر آمنة كفى,0
16195,رفاعي أسامة غيث,1
26208,قد جيداء عبدالصمد,0
31245,حجاويد عخسى عبدالخالق,0
13132,أوصاف مقبل خزعل,1
22605,صارم ذكية فادية,0
33952,عبدالعليم ساحد حجاب,0
14888,عبدالفتاح عقلة فرناس,1
2332,إسعاد ضرام سراج,1
16245,ريمة سداد منعم,1
34131,عائذ مرشدي مخجد,0
9201,عشير رشيق صاعد,1
5421,مناحة عبد الحسين شريك,1
29124,أنتر سالم أوس,0
1698,رائف سعدي فطين,1
2790,إنصاف شاكر رشيد,1
25991,صفوان باركة كريمة,0
9776,خزنة ثائر عماد,1
12730,صدام سري مرزوق,1
5986,أنوس ضرار تقي,1
36403,رشا جيداء ميمونة,0
26706,ياسمين راجح رافق,0
17659,هائل مسفر سالم,1
14420,فريدة نظمي رغيب,1
13321,ملهمة عقال مجير,1
2851,جيداء فكري قتيبة,1
778,رزق فتح ورد,1
36431,متام فيضي دانا,0
25827,محتاح نضير إيمةن,0
5911,مجاهد رامز طموح,1
21540,ؤبرور ربيع مناع,0
11634,زاهي مبروك فرج,1
922,معتوق عبدالبصير اسلم,1
11376,ناهية عوض فالح,1
15825,ثوابة محمود فالح,1
19669,هدى جلال بشارة,1
7940,قطب شديد بليغ,1
2620,قاسم مطاوع شيبان,1
21093,أمانة رحاب رنا,0
1138,لهيفة شمر حمد,1
14934,خويلد عوض دريد,1
17519,منيرة فليح مخلص,1
15204,البراء ستار عنترة,1
33436,نوال إسراء سنيحة,0
34241,ثائب ساامة نزار,0
9454,أميمية أسامة حافظ,1
21379,عبلة دنيا ريحانة,0
4820,مرتضى ضيف أبان,1
36832,عبدالشور عروة اببراء,0
3542,ثراء خزاعي بهلول,1
13012,قيس أحد ناصر,1
36112,عفلة بادرة مرزوع,0
14469,خزنة منتظر عازم,1
26127,نديم بكري مناف,0
18696,آمال منصور ثائب,1
23010,شكري كعيمة رؤزف,0
34061,منجد طامحة لمى,0
1518,قثم عماد معن,1
24716,ثاجي طرةفة رديف,0
36541,مسلمة رجب أغاريد,0
22240,صريحة ثروت بكر,0
12210,نجوان سحيم عجم,1
1644,ساهدة رفعت عصمت,1
7942,بدر حازم مجتبى,1
28445,غوار مناصف فضل,0
17352,الجازي رمزي مضر,1
10323,بادرة شبل غلاب,1
9156,نجدة لبيب ريان,1
32020,علياء نبيهة ميادة,0
36588,فراس وسلم حجون,0
25302,ريفن ذبشح أخضر,0
19113,صائنة أدعج صمد,1
20130,سامية مروة أنوس,0
7823,ليث غلام هبار,1
36368,أودة صابرة انشراف,0
34229,موفة نجزة فواز,0
32860,مدلض مدثر ساجي,0
15620,حزام خالد رئيف,1
30314,ناشئة شريك حسين,0
27565,رابح ظعينة كبرى,0
5714,ميثم ليث مازن,1
10531,دانية حميد عقبة,1
772,إيضاح ثروت مصباح,1
26848,ناصيف ليإل جبلة,0
1615,نورة رجاء توفيق,1
30978,بسمة ريتا وديعة,0
29534,ذياب حاهر حمزة,0
2081,معد رسمي لمعي,1
11142,أفنان خلدون أحمد,1
3512,حوراء دريد قثم,1
2635,منصف مطاوع عروة,1
9337,انشقار باسم ناجح,1
34806,هادف خلدون عمران,0
24361,فائز انفصال غيد,0
15044,جريج كعب عنبسة,1
34560,بهيس نظيرة انجرار,0
25977,زاخء نظيرة سممح,0
36124,حسيم مدثر فيصل,0
12506,هالة منقذ وسيم,1
27987,نجا إناس تيسير,0
688,سميع عدلي بندر,1
19916,بجير تقي ناجح,1
6837,كافي خباب علاء,1
36660,لانا توفيخ مارية,0
8366,عنبر مدثر عوني,1
9633,بديع مصلح نصرت,1
35070,تاسر بدرية عبدالجبار,0
14505,سارة قصي هائل,1
4544,صريحة جروان عمران,1
36274,سعد هائلة فتيحة,0
12994,مناصف سمير منتصر,1
15501,سنيحة راجي فائق,1
24431,أرزم مزن نةر,0
24674,سآيانة كادي منذر,0
11827,لطيفة صدام زيان,1
21856,كاظمة هاجر ضارعة,0
19222,ربيح جهير جلال,1
3126,إسراء نصر نزيه,1
36472,خطآب باركة وفيق,0
5226,سامر عبدالغفور كاسب,1
460,فكري أزهر بشر,1
16315,جمانة غالب مطلق,1
6030,كرم مناع كامل,1
33355,ثوبة فكرت عقل,0
11557,حسنية طاهر بطرس,1
2124,مسلم عوف ميلاد,1
30907,أمنية زبير غياث,0
27597,مبل إإاس مخلصة,0
35752,غيداء سيارة يارا,0
20401,كليب أشهب ردال,0
9332,كاسر سامي رضي,1
15973,بهيجة حسنين باهر,1
13559,معينة تامر مطاع,1
20249,امتياز أمينة أوها,0
24962,مجاور عمثد تقي,0
16267,ذبيانة قيس بلال,1
6317,تارا جودة رغال,1
2954,عبدالجميل مكين جبل,1
36769,رسمية متام لطيفة,0
17497,عرفة دعيج خلوق,1
7608,راقية معين فرقان,1
24483,شعبة مجيدة باسلة,0
29095,فتحي أمينة فتيحة,0
33130,نجدس توليب عائذ,0
31303,معين سلمى صادر,0
33070,مهاب سيف زيد,0
8349,مخلصة صفوان رسيم,1
28878,عزيزة ظبية ءديل,0
26450,كنعان ذبيانة افتكار,0
